Sentence,Sentiment
"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .",neutral
"Aviva, M&G suspend property funds as investors panic",negative
Atria will also buy the shares of Kauhajoen Teurastamokiinteistot Oy (Kauhajoki slaughterhouse property)from Itikka Co-operative .,neutral
"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .",positive
"The fixed-term contract of Mr. Jarmo Ukonaho , the current General Manager of Incap 's Indian operations , will finish by the end of the year .",neutral
$brcm raises revenue forecast,positive
The acquisition of AVC Systemhaus and the majority stake in Cableway will increase the number of Teleste personnel by 250 .,neutral
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,negative
Pertti Ervi is independent from the Company and its major shareholders .,neutral
Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .,neutral
As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .,neutral
Protalix is developing genetically engineered proteins from plant cells .,neutral
ABB Deutsche Bank upgraded its recommendation on Swiss-Swedish engineering group ABB Ltd. to ` Buy ' from ` Hold ' .,positive
"Compagnie de Financement Foncier - Is to issue a benchmark , 10 year covered deal in Euros .",neutral
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive
No financial details were revealed .,neutral
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",negative
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive
"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",negative
"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+ñnge , by the turn of the month March-April 2008 .",neutral
The credit covers approximately 70 % of the ship 's price .,neutral
Currency conversions are based on exchange rates at the time of the deal .,neutral
Out of shorts $ALTR at 38.85 with loss,positive
That would be an increase from estimated sales of 117 million last year .,positive
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",negative
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive
The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares .,neutral
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,neutral
The Finnish group anticipates a sales gain of EUR42m after tax and expenses .,positive
"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",positive
"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",neutral
"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .",positive
"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus .",neutral
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,positive
Finnish power company Fortum reports 89 % of its electricity was generated without carbon dioxide emissions in 2007 .,neutral
Shell to buy BG Group in $69.7 billion takeover,positive
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",neutral
Locked in some $FB puts for nice gain,negative
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral
A filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device .,neutral
Why $MCD looks set to fall further. http://stks.co/f2fgj,negative
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,positive
Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn,positive
"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",neutral
The company continued the development of a fully human antibody in its VAP-1 antibody program .,neutral
"The program , which was started in the summer of 2007 , was originally estimated to last approximately two years .",neutral
"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 .",neutral
Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) .,neutral
$FB bot some @78.47 breakout from the consolidation zone :D,positive
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",positive
`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,positive
- Cash flow from operating activities before investments was EUR 0.8 -1.2 million .,neutral
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,neutral
DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -® 2006 Digitalmediaasia.com & DMA Ltd. .,positive
"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",positive
$NVDA sideways,neutral
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",neutral
The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 .,positive
"According to Saarioinen 's Managing Director Ilkka M+ñkel+ñ , the food industry sector has a significant excess of production machinery .",neutral
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",negative
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,negative
RBS chairman admits surprise at size of regulatory penalties,negative
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral
Net investment income,neutral
"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",neutral
"Tikkurila has an interesting growth strategy , which we support .",neutral
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive
"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",positive
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive
Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .,neutral
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .",positive
"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .",neutral
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",negative
"A total of 750,330 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed in December exercising the A-B-C options based on the company 's stock option plan 1999 .",neutral
"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .",neutral
"As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . ''",neutral
"The Division also includes joint sales , marketing and controlling functions for these units .",neutral
The contract will take effect in 2009 for a five or ten year period .,neutral
"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .",positive
Tesco share price steady as analysts weigh in on results,neutral
The output of the contracts totals 72 MWe .,neutral
"It is being developed by Symbian , the software licensing consortium led by Nokia .",neutral
$KCG bot at 2.24,positive
Viking Line manages well with its current ferries .,positive
The company website is www.ahlstrom.com .,neutral
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index .,neutral
"Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,000 employees .",neutral
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,negative
The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .,neutral
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",positive
"As a result , the company has decided it will implement fixed-term temporary lay-offs .",negative
"JVC will stop producing DVD players in Brazil : JVC do Brazil , a subsidiary of Japan 's JVC group announced it will stop the production of DVD players in Brazil .",neutral
"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",positive
"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover .",negative
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",positive
"UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products .",neutral
"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today",positive
Customers include hotels and restaurants as well as wholesalers and some retailers .,neutral
TeliaSonera has secured deliveries for 4G modems with support for 3G and 2G during the second quarter 2010 .,positive
New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,positive
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",positive
Profit after taxes totaled EUR 12.1 mn .,neutral
$IWM same conditions that sent markets to tumble all hitting this week,negative
"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .",neutral
R&D Loan ) .,neutral
Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,positive
Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .,neutral
Meggitt share price tumbles as profit falls in 'challenging year',negative
Tesco share price jumps as Q3 sales top estimates,positive
The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .,positive
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",positive
Homeowners across North America have green experiences to share from cost savings to clean and eco-friendly heating .,neutral
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive
The original contract was signed last summer .,neutral
"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki .",neutral
Shell share price: Standard Life announce position against BG acquisition,negative
"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights .",neutral
"The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China , South America , and Saudi Arabia .",neutral
"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .",neutral
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .",positive
"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",neutral
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral
A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,neutral
i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,negative
Barclays appoints JPMorgan's Paul Compton as new COO,neutral
"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",neutral
"These sections will be put into place to form the load-bearing steel structure of the bridge , '' says Sami Eronen , Senior Vice President , Infrastructure and Northern Europe , Ruukki Construction .",neutral
Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,negative
